#date,checker,turbidity,ph,chlorine,temperature,conductivity
"12:00:00,","일원,",0.04,7.1,,7.0,228.0
"12:00:00,","우면산,",0.02,7.2,0.41,5.4,222.0
"12:00:00,","도곡동(강남수도),",0.05,7.0,0.25,4.9,214.0
"12:00:00,","반포,",0.05,7.0,0.36,6.0,240.0
"12:00:00,","내곡동(연간단가),",0.05,7.1,0.3,6.3,213.0
"12:00:00,","반포동(자이A),",,,0.43,3.9,199.0
"12:00:00,","방배동(청두공원),",,,,,
"12:00:00,","내곡,",0.04,7.0,0.26,8.4,219.0
"12:00:00,","우면동(품질시험소),",0.04,,0.3,8.1,212.0
"12:00:00,","논현동(논현초교),",0.1,7.2,0.21,7.1,207.0
"12:00:00,","양재동(매헌초교),",0.11,7.1,0.33,6.5,
"12:00:00,","삼성,",0.02,7.0,0.37,5.8,100.0
"12:00:00,","봉은,",0.05,7.1,0.41,7.1,216.0
"12:00:00,","수서,",0.02,7.0,0.32,5.8,100.0
"12:00:00,","자곡동(자곡증압),",0.04,7.2,0.22,4.5,223.0
"12:00:00,","삼성동(삼성증압),",0.04,7.1,0.33,5.2,233.0
"13:00:00,",,0.04,7.1,0.39,5.8,236.0
"13:00:00,","방배,",0.05,7.2,0.36,5.5,215.0
"13:00:00,","일원,",0.04,7.1,0.28,7.1,229.0
"13:00:00,","우면산,",0.02,7.2,0.41,5.4,222.0
"13:00:00,","도곡동(강남수도),",0.05,7.0,0.23,5.0,214.0
"13:00:00,","반포,",0.05,7.0,0.37,6.0,238.0
"13:00:00,","내곡동(연간단가),",0.05,7.2,0.24,6.4,215.0
"13:00:00,","반포동(자이A),",0.03,7.0,0.41,4.0,199.0
"13:00:00,",,,,,,
"13:00:00,","내곡,",0.04,7.0,0.26,8.2,220.0
"13:00:00,","우면동(품질시험소),",0.04,7.2,0.31,8.4,211.0
"13:00:00,","논현동(논현초교),",0.1,7.1,0.21,6.8,208.0
"13:00:00,","양재동(매헌초교),",0.11,7.1,0.33,6.9,201.0
"13:00:00,","삼성,",0.02,7.0,0.37,5.8,100.0
"13:00:00,","봉은,",0.05,7.1,0.41,7.0,217.0
"13:00:00,","수서,",0.02,7.0,0.31,5.8,100.0
"13:00:00,","자곡동(자곡증압),",0.04,7.2,0.34,4.4,220.0
"13:00:00,","삼성동(삼성증압),",0.04,7.1,0.33,5.5,234.0
"14:00:00,","서초,",0.04,7.1,0.38,5.8,236.0
"14:00:00,","방배,",0.05,7.2,0.36,5.5,215.0
"14:00:00,","일원,",0.04,7.1,0.27,7.2,229.0
"14:00:00,","우면산,",0.02,7.2,0.41,5.4,223.0
"14:00:00,",,0.05,7.1,0.22,,214.0
"14:00:00,","반포,",0.05,7.0,0.37,6.0,238.0
"14:00:00,","내곡동(연간단가),",0.05,7.2,0.25,6.3,216.0
"14:00:00,","반포동(자이A),",0.03,7.0,0.42,4.0,199.0
"14:00:00,","방배동(청두공원),",,,,,
"14:00:00,","내곡,",0.04,7.0,0.28,8.4,218.0
"14:00:00,","우면동(품질시험소),",0.04,7.2,0.31,8.2,211.0
"14:00:00,","논현동(논현초교),",0.1,7.1,0.21,6.6,206.0
"14:00:00,","양재동(매헌초교),",,7.1,0.33,7.3,200.0
"14:00:00,","삼성,",0.02,7.0,0.37,5.7,100.0
"14:00:00,","봉은,",0.05,7.1,0.41,7.1,
"14:00:00,","수서,",0.02,7.0,0.32,5.7,100.0
"14:00:00,","자곡동(자곡증압),",0.04,7.2,0.31,4.5,220.0
"14:00:00,","삼성동(삼성증압),",0.04,7.2,0.33,5.6,234.0
"15:00:00,","서초,",0.04,7.1,0.38,5.9,236.0
"15:00:00,","방배,",0.05,7.2,0.37,5.5,216.0
"15:00:00,","일원,",0.04,7.1,0.31,7.2,
"15:00:00,","우면산,",0.02,7.2,0.41,5.4,223.0
"15:00:00,","도곡동(강남수도),",0.05,7.1,0.23,4.9,214.0
"15:00:00,","반포,",0.05,7.0,0.37,6.0,237.0
"15:00:00,","내곡동(연간단가),",0.05,7.2,0.34,6.1,214.0
"15:00:00,","반포동(자이A),",0.03,6.9,0.42,4.1,199.0
"15:00:00,","방배동(청두공원),",,,,,
"15:00:00,","내곡,",0.04,7.0,0.34,,220.0
"15:00:00,",,0.04,7.2,0.31,8.5,211.0
"15:00:00,",,0.1,7.1,0.22,6.7,207.0
"15:00:00,",,0.11,7.1,0.32,7.2,199.0
"15:00:00,","삼성,",0.02,7.0,0.37,5.7,100.0
"15:00:00,","봉은,",0.05,7.1,0.41,7.1,217.0
"15:00:00,","수서,",0.02,7.0,0.33,5.7,100.0
"15:00:00,","자곡동(자곡증압),",0.04,7.2,0.33,4.3,221.0
"15:00:00,","삼성동(삼성증압),",0.04,7.2,0.34,5.6,234.0
"16:00:00,","서초,",0.04,7.1,0.38,5.8,236.0
"16:00:00,","방배,",0.05,7.2,0.37,5.5,216.0
"16:00:00,","일원,",0.05,7.1,0.35,7.1,228.0
"16:00:00,",,0.02,7.2,0.41,5.4,
"16:00:00,","도곡동(강남수도),",0.05,7.1,0.25,4.8,214.0
"16:00:00,","반포,",0.05,7.0,0.37,6.1,239.0
"16:00:00,","내곡동(연간단가),",0.05,7.2,0.33,6.1,215.0
"16:00:00,","반포동(자이A),",0.03,6.9,0.41,4.2,199.0
,"방배동(청두공원),",,,,,
"16:00:00,","내곡,",0.04,7.0,0.34,8.3,218.0
"16:00:00,","우면동(품질시험소),",0.04,7.2,0.31,8.2,211.0
"16:00:00,","논현동(논현초교),",0.09,7.0,0.21,7.8,206.0
"16:00:00,","양재동(매헌초교),",0.11,7.1,0.32,7.3,200.0
"16:00:00,","삼성,",0.02,7.0,0.37,5.7,100.0
"16:00:00,","봉은,",0.05,7.1,0.41,7.1,218.0
