#date,checker,turbidity,ph,chlorine,temperature,conductivity
"06:00:00,","도곡동(강남수도),",0.05,7.0,0.27,4.8,213.0
"06:00:00,","반포,",0.05,6.9,0.35,6.1,242.0
"06:00:00,","내곡동(연간단가),",0.05,7.2,0.34,6.2,214.0
"06:00:00,","반포동(자이A),",0.04,7.0,0.36,4.7,201.0
"06:00:00,","방배동(청두공원),",,,,,
"06:00:00,",,0.04,7.0,0.31,8.2,219.0
"06:00:00,","우면동(품질시험소),",0.04,7.2,0.25,7.2,215.0
"06:00:00,","논현동(논현초교),",0.09,7.1,0.21,,205.0
"06:00:00,","양재동(매헌초교),",0.11,7.1,0.33,5.8,205.0
"06:00:00,","삼성,",,7.0,0.38,6.1,100.0
"06:00:00,","봉은,",0.05,7.1,0.4,7.1,215.0
"06:00:00,","수서,",0.02,7.0,0.33,6.1,100.0
"06:00:00,","자곡동(자곡증압),",0.04,7.1,,3.6,218.0
"06:00:00,","삼성동(삼성증압),",0.04,7.1,0.35,5.1,231.0
"07:00:00,","서초,",0.04,7.1,0.39,5.7,236.0
"07:00:00,","방배,",0.05,7.2,0.36,5.3,214.0
"07:00:00,","일원,",0.04,7.2,0.26,7.3,231.0
"07:00:00,","우면산,",0.02,7.1,0.41,5.3,222.0
"07:00:00,","도곡동(강남수도),",0.05,7.0,0.26,4.8,214.0
"07:00:00,","반포,",0.05,6.9,0.36,6.0,242.0
"07:00:00,","내곡동(연간단가),",0.05,7.2,0.33,6.3,214.0
"07:00:00,","반포동(자이A),",0.04,7.0,0.33,4.7,201.0
"07:00:00,","방배동(청두공원),",,,,,
"07:00:00,","내곡,",0.04,7.0,0.33,8.4,219.0
"07:00:00,","우면동(품질시험소),",0.04,7.2,0.25,7.2,215.0
"07:00:00,","논현동(논현초교),",0.09,7.1,0.21,8.4,205.0
"07:00:00,","양재동(매헌초교),",0.11,7.1,0.33,5.8,204.0
"07:00:00,","삼성,",0.02,7.0,0.38,6.0,100.0
"07:00:00,","봉은,",0.05,7.1,0.41,7.0,216.0
"07:00:00,","수서,",0.02,7.0,0.34,6.0,100.0
"07:00:00,","자곡동(자곡증압),",0.04,7.1,0.33,3.7,218.0
"07:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.1,231.0
"08:00:00,","서초,",0.04,7.1,0.39,5.7,236.0
"08:00:00,","방배,",0.05,7.2,0.35,5.4,
"08:00:00,","일원,",0.04,7.2,0.27,7.4,231.0
"08:00:00,","우면산,",0.02,7.1,0.41,5.3,222.0
"08:00:00,","도곡동(강남수도),",0.05,,0.26,4.7,214.0
"08:00:00,","반포,",0.05,6.9,0.36,6.0,242.0
"08:00:00,","내곡동(연간단가),",0.05,7.2,0.3,6.2,213.0
"08:00:00,","반포동(자이A),",0.05,7.0,0.34,4.8,201.0
,"방배동(청두공원),",,,,,
"08:00:00,","내곡,",0.05,7.0,0.29,8.6,218.0
"08:00:00,","우면동(품질시험소),",0.04,7.2,0.26,7.2,214.0
"08:00:00,","논현동(논현초교),",0.09,,0.21,8.4,205.0
"08:00:00,","양재동(매헌초교),",0.11,7.1,0.33,5.9,205.0
"08:00:00,","삼성,",0.02,7.0,0.37,5.8,100.0
"08:00:00,","봉은,",0.05,7.1,0.41,7.0,216.0
"08:00:00,","수서,",0.02,7.0,0.34,5.8,
"08:00:00,","자곡동(자곡증압),",0.04,7.1,0.31,3.9,219.0
"08:00:00,","삼성동(삼성증압),",0.04,7.1,0.34,5.1,231.0
"09:00:00,","서초,",0.04,7.1,0.39,5.6,236.0
,"방배,",0.05,7.2,0.35,5.4,215.0
"09:00:00,","일원,",0.04,7.1,0.26,7.4,230.0
"09:00:00,","우면산,",0.02,7.1,0.41,5.3,222.0
"09:00:00,","도곡동(강남수도),",,7.0,0.27,4.7,214.0
"09:00:00,","반포,",0.05,6.9,0.36,6.0,242.0
"09:00:00,","내곡동(연간단가),",0.05,7.2,0.34,6.5,214.0
"09:00:00,","반포동(자이A),",0.05,7.0,0.33,4.9,200.0
"09:00:00,","방배동(청두공원),",,,,,
